date,caltext,caltitle,calsuper
2018-01-03,15.116714308999999,0.9409561000000002,4.6018988830000005
2018-01-05,5.6304408499999985,0.0,1.9267569500000001
2018-01-06,-0.4101119330000004,0.0583497,-1.169135683
2018-01-09,1.7145404999999998,0.1445837,-0.8041882000000001
2018-01-13,1.3029872250000003,0.0,-0.25907485
2018-01-20,3.8655324330000003,0.0,-0.06856045
2018-01-23,5.834999383,0.20398729999999998,0.9980514
2018-01-24,9.326853517000005,0.076052,-0.3703350999999999
2018-01-25,9.761312,0.0,2.9256502500000003
2018-01-26,11.827963524999998,-0.2738025,2.390492017
2018-01-30,5.1296908000000006,0.0,-0.04707939999999988
2018-02-01,4.275107534,-0.6421574999999999,0.45814785000000013
2018-02-07,0.42972268299999994,0.0,1.117165833
2018-02-11,2.913738867,0.0,1.176257617
2018-02-14,1.80026485,0.0,0.41898655000000007
2018-02-15,6.674876449999998,0.4342173,1.5208395000000001
2018-02-21,7.822032933000002,0.49392959999999997,0.6231045999999999
2018-02-22,3.267370500000001,-0.17832275,-0.39273759999999996
2018-02-25,-1.6811204000000002,-0.35846939999999994,-1.78695515
2018-02-26,5.103780224999999,0.076052,1.2704937500000002
2018-02-27,3.0590216170000004,0.0,1.3026708000000002
2018-03-04,-0.508396767,0.0,-0.614438317
2018-03-06,5.292795232999999,0.0,-0.09894800000000001
2018-03-17,9.335439383,0.076052,2.015608
2018-03-31,8.651523699000002,0.0,2.1099296160000005
2018-04-01,0.9042020079999994,0.013967600000000002,0.33078215
2018-04-04,2.8178325830000004,0.0,1.577031867
2018-04-10,5.699685984,-0.17832275,2.6093715170000005
2018-04-13,6.781281657999999,0.0770778,3.6787425000000002
2018-04-14,7.735059275,0.0072806829999999545,2.440168442000001
2018-04-15,11.908422039,0.741490375,1.9966499809999998
2018-04-17,5.607517659,-0.80786785,0.5115244510000001
2018-04-18,0.21827979900000025,0.0,0.6586016160000001
2018-04-19,-0.757896783,0.17771810000000002,-0.5866630829999999
2018-04-20,5.581144833999999,0.13237605000000002,1.037190375
2018-04-21,5.1326871,0.4262471,3.4057280160000003
2018-04-24,3.522823368,0.0,2.2938974010000006
2018-04-26,7.565079316000001,0.0,0.020313149999999947
2018-04-27,1.185432767,0.0,1.1523791669999999
2018-04-28,5.733200608000001,0.28544080000000005,1.9153215409999997
2018-04-30,8.742663367000002,0.0,0.48425759999999995
2018-05-01,2.6285206,0.0,1.4396648500000002
2018-05-02,3.624129867,0.0,-0.19511140000000002
2018-05-03,5.8967415,0.013967600000000002,4.662812767
2018-05-04,5.872168367,0.0,1.1877417500000003
2018-05-05,8.006008733000002,0.17771810000000002,2.456371483
2018-05-07,2.907181533,0.6527181,0.1678389
2018-05-08,5.276291317,0.08461169999999996,0.5124999330000002
2018-05-09,3.2991548669999995,0.5251951,-0.19033450000000002
2018-05-10,11.850868935000003,0.30138695,0.605218217
2018-05-11,0.9004090000000002,0.126052,1.7012938329999998
2018-05-12,2.973222816999999,0.5043683,3.3820750999999993
2018-05-13,0.8223139919999999,0.0,0.696261992
2018-05-15,0.2370612169999998,0.0,-0.6160060329999998
2018-05-16,0.7807957000000001,0.0,0.3404615
2018-05-18,3.5093423339999994,0.0,2.300188417
2018-05-22,5.632966767000001,0.5836165000000001,2.9618463170000013
2018-05-23,1.6994896170000002,-0.3143376,1.568030567
2018-05-24,4.1802442000000015,0.0,0.6984471999999999
2018-05-28,7.693811701000002,0.1885885,1.1465547839999999
2018-05-31,10.544544833000002,0.289827433,3.0958873660000004
2018-06-02,13.916274916,0.04667450000000001,10.337868066
2018-06-15,19.351688135000003,0.34474240000000006,1.5921401
2018-06-16,4.028030767,0.0,1.7504229169999999
2018-06-19,3.006069749999999,0.0,2.2648201
2018-06-20,3.532843849,-0.0641674,-0.09958648400000011
2018-06-21,18.804362969000003,-0.0245074,1.5387025000000003
2018-06-22,3.7781715669999993,0.0340756,4.048195949999999
2018-06-23,-0.46252755,0.0,0.69617615
2018-06-25,0.9298803750000002,0.20398729999999998,0.8086901750000002
2018-06-26,2.9735656510000004,-0.4077888999999999,3.287931617
2018-06-27,0.6835090999999995,0.0,0.06515139999999994
2018-06-29,5.809832156000001,-0.625,5.938198182
2018-06-30,-1.8386238499999998,0.0,-0.82158755
2018-07-04,3.739507882999998,0.17771810000000002,3.4054689829999987
2018-07-10,4.858644407,-0.803550767,2.95921625
2018-07-13,0.05978964999999999,0.575,1.9358766500000002
2018-07-14,4.361180157999999,0.0,1.16435055
2018-07-15,1.0758184,0.0,0.85231495
2018-07-18,-1.5247456670000004,-0.3143376,-0.5979116830000001
2018-07-19,0.37029025000000027,0.0,0.4885676999999998
2018-07-21,1.444445067,0.0,0.35086096700000013
2018-07-22,0.5746977499999999,0.0,-0.38041630000000004
2018-07-23,-1.6176180079999996,-0.625,-0.013906917000000019
2018-07-24,1.1899483,-0.3143376,2.1755937000000003
2018-07-25,2.1899932,0.07860349999999999,0.007360366999999951
2018-07-27,0.3041503500000001,0.0,-0.3310101999999998
2018-07-29,0.5287543499999999,-0.17832275,0.2056919
2018-08-01,1.9717932999999996,0.0,2.7664501500000007
2018-08-03,1.8560180670000008,0.0,1.1060368
2018-08-04,1.9034664829999999,0.1293683,1.502692233
2018-08-11,0.38835371699999993,0.0,0.9770613000000001
2018-08-15,-1.8520817580000002,-0.2643376,-1.6637961579999998
2018-08-16,-5.53335005,0.0,-0.3180980999999999
2018-08-19,1.8672950169999998,0.0,1.6178548169999998
2018-08-26,0.2868999170000003,0.0,1.334795917
