Date,Open,High,Low,Close,Volume
2018-05-23,29.867,30.0116,29.798,29.9617,15467
2018-05-24,29.965,30.011,29.8967,29.9303,7376
2018-05-25,29.931,29.9704,29.88,29.9402,12190
2018-05-28,29.945,29.945,29.8815,29.9427,3899
2018-05-29,29.955,30.1029,29.8916,30.0585,13645
2018-05-30,30.061,30.0852,29.9149,29.9219,14502
2018-05-31,29.939,30.0026,29.8631,29.9731,13303
2018-06-01,29.981,29.981,29.7814,29.8043,14760
2018-06-04,29.089,29.8288,29.089,29.7354,8071
2018-06-05,29.733,29.8391,29.6439,29.8034,14420
2018-06-06,29.801,29.8041,29.6344,29.6556,13446
2018-06-07,29.678,29.7762,29.6391,29.7659,12571
2018-06-08,29.767,29.9214,29.7064,29.836,13072
2018-06-11,28.948,29.8341,28.948,29.8137,9543
2018-06-12,29.811,29.8786,29.8045,29.8609,12848
2018-06-13,29.87,29.9046,29.7691,29.8448,13244
2018-06-14,29.843,29.9419,29.7701,29.9318,12871
2018-06-15,29.94,30.1546,29.8659,30.1328,14097
2018-06-18,29.145,30.192,29.145,30.1484,9829
2018-06-19,30.151,30.2794,30.0915,30.1768,15902
2018-06-20,30.172,30.2328,30.1101,30.1842,14779
2018-06-21,30.182,30.4132,30.136,30.3141,15543
2018-06-22,30.31,30.3768,30.2085,30.2978,15041
2018-06-25,30.298,30.4202,30.298,30.3647,10460
2018-06-26,30.372,30.4859,30.3076,30.4075,13528
2018-06-27,30.404,30.5504,30.3525,30.5101,14961
2018-06-28,30.508,30.6165,30.4829,30.5617,11236
2018-06-29,30.556,30.6039,30.3877,30.4622,15353
2018-07-02,30.493,30.6021,30.4025,30.5291,12151
2018-07-03,30.53,30.6693,30.4864,30.5364,15324
2018-07-04,30.547,30.547,30.4448,30.4946,14735
2018-07-05,30.493,30.5927,30.4854,30.5149,14585
2018-07-06,30.523,30.5586,30.423,30.4304,15767
2018-07-09,30.428,30.4507,30.2733,30.3109,12113
2018-07-10,30.306,30.4439,30.2896,30.3402,15149
2018-07-11,30.325,30.6624,30.2804,30.6567,15905
2018-07-12,30.638,30.6515,30.4591,30.5002,16124
2018-07-13,30.511,30.6734,30.4701,30.5663,16271
2018-07-16,30.566,30.5942,30.4994,30.5358,11853
2018-07-17,30.53,30.564,30.4578,30.5389,14649
2018-07-18,30.532,30.6406,30.4724,30.5916,15361
2018-07-19,30.594,30.7323,30.559,30.6688,17075
2018-07-20,30.666,30.7334,30.5608,30.563,16091
2018-07-23,30.571,30.6712,30.5428,30.6172,13150
2018-07-24,30.615,30.7433,30.5644,30.6138,15041
2018-07-25,30.607,30.6744,30.4618,30.4661,14704
2018-07-26,30.458,30.6021,30.3902,30.5963,14724
2018-07-27,30.591,30.662,30.5399,30.5566,13946
2018-07-30,30.562,30.6308,30.5357,30.5753,9337
2018-07-31,30.585,30.649,30.5119,30.5675,11173
2018-08-01,30.581,30.6277,30.5672,30.6153,10492
2018-08-02,30.609,30.73,30.5985,30.7083,10405
2018-08-03,30.717,30.7235,30.5552,30.5719,11833
2018-08-06,30.604,30.6496,30.5581,30.639,8355
2018-08-07,30.635,30.647,30.5212,30.5431,10820
2018-08-08,30.55,30.6248,30.4607,30.5774,9774
2018-08-09,30.584,30.6624,30.5722,30.6489,10472
2018-08-10,30.655,30.7663,30.5902,30.7338,9768
2018-08-13,30.731,30.8788,30.7252,30.8451,10401
2018-08-14,30.843,30.8507,30.7623,30.8168,10701
2018-08-15,30.81,30.8917,30.7618,30.8564,11160
2018-08-16,30.86,30.8682,30.7224,30.7498,13372
2018-08-17,30.746,30.8407,30.6996,30.7184,11962
2018-08-20,30.678,30.8037,30.6498,30.7095,10143
2018-08-21,30.707,30.7326,30.6271,30.64,10932
2018-08-22,30.636,30.7251,30.6291,30.6742,11456
2018-08-23,30.669,30.8261,30.6641,30.8261,11384
2018-08-24,30.829,30.8526,30.6399,30.6505,13766
2018-08-27,30.66,30.7382,30.6555,30.6719,11471
2018-08-28,30.67,30.7265,30.636,30.6992,12404
2018-08-29,30.698,30.7238,30.583,30.6818,13755
2018-08-30,30.68,30.7464,30.6089,30.7464,12940
2018-08-31,30.749,30.749,30.6449,30.6717,12147
2018-09-03,30.669,30.7506,30.6569,30.7154,8670
2018-09-04,30.723,30.8223,30.7096,30.755,13356
2018-09-05,30.757,30.8295,30.7131,30.7748,13103
2018-09-06,30.773,30.8012,30.7,30.7823,12148
2018-09-07,30.77,30.8125,30.7385,30.8041,12966
2018-09-10,30.805,30.8447,30.7888,30.8171,9522
2018-09-11,30.824,30.8475,30.7664,30.8022,12845
2018-09-12,30.785,30.8394,30.7098,30.7147,13299
2018-09-13,30.728,30.8082,30.7109,30.7499,13113
2018-09-14,30.745,30.7924,30.6967,30.7575,12580
2018-09-17,30.757,30.8177,30.7552,30.8031,7961
2018-09-18,30.796,30.8133,30.7702,30.7807,12624
2018-09-19,30.79,30.805,30.7149,30.7243,12756
2018-09-20,30.729,30.7909,30.6583,30.7243,10315
2018-09-21,30.728,30.7501,30.5538,30.6375,11326
2018-09-24,30.627,30.7187,30.5834,30.7094,8552
2018-09-25,30.714,30.714,30.6264,30.6606,10285
2018-09-26,30.671,30.677,30.5921,30.6651,12009
2018-09-27,30.669,30.6822,30.4907,30.5285,14497
2018-09-28,30.534,30.5522,30.4401,30.4485,14410
2018-10-01,30.447,30.5569,30.4251,30.5425,7939
2018-10-02,30.537,30.6758,30.4652,30.6558,10968
2018-10-03,30.656,30.7436,30.644,30.7399,11507
2018-10-04,30.733,30.8567,30.7301,30.8509,9534
2018-10-05,30.851,30.9251,30.7787,30.9194,12872
2018-10-08,30.907,31.016,30.8626,30.9566,11413
2018-10-09,30.958,31.0289,30.9339,30.9717,12386
2018-10-10,30.972,31.084,30.9402,31.0836,11658
2018-10-11,31.081,31.1665,30.9304,30.9588,12603
2018-10-12,30.964,31.0257,30.7654,30.894,13494
2018-10-15,30.892,30.9321,30.7952,30.8789,9337
2018-10-16,30.872,30.8741,30.7484,30.7796,12728
2018-10-17,30.776,30.8818,30.7013,30.8739,10658
2018-10-18,30.868,31.0086,30.8032,30.9888,11777
2018-10-19,30.988,31.0044,30.8562,30.8835,11344
2018-10-22,30.887,30.9839,30.8502,30.9288,9282
2018-10-23,30.916,30.9991,30.8379,30.9473,9842
2018-10-24,30.949,31.0015,30.8972,30.9858,10784
2018-10-25,30.993,31.0147,30.905,30.9535,11570
2018-10-26,30.951,31.0342,30.8815,30.9654,11330
2018-10-29,30.963,31.0069,30.9266,31.0042,9614
2018-10-30,30.995,31.0025,30.8845,30.9564,12007
2018-10-31,30.954,30.9707,30.8773,30.9405,10231
2018-11-01,30.944,30.944,30.7248,30.734,14077
2018-11-02,30.743,30.7978,30.412,30.5945,14724
2018-11-05,30.588,30.737,30.588,30.6954,5967
2018-11-06,30.684,30.7913,30.6807,30.7699,5571
2018-11-07,30.779,30.779,30.561,30.5683,14162
2018-11-08,30.581,30.7182,30.5676,30.688,14455
2018-11-09,30.685,30.7872,30.6062,30.7753,13280
2018-11-12,30.774,30.9202,30.774,30.9202,10234
2018-11-13,30.922,30.9358,30.8286,30.8537,12728
2018-11-14,30.86,30.9378,30.7583,30.8648,12261
2018-11-15,30.863,30.9051,30.759,30.7838,13202
2018-11-16,30.778,30.899,30.7658,30.7716,12661
2018-11-19,30.772,30.948,30.772,30.9024,11623
2018-11-20,30.902,30.9564,30.8699,30.949,11776
2018-11-21,30.947,30.9909,30.817,30.848,12495
2018-11-22,30.848,30.9203,30.8038,30.8331,11570
2018-11-23,30.807,30.9403,30.7981,30.9309,11236
2018-11-26,30.921,30.921,30.8233,30.8583,8498
2018-11-27,30.862,30.9128,30.8431,30.9085,12028
2018-11-28,30.913,30.913,30.799,30.8131,12878
2018-11-29,30.82,30.8664,30.7121,30.7467,13885
2018-11-30,30.753,30.853,30.6374,30.834,11595
2018-12-03,30.832,30.832,30.6477,30.6612,12507
2018-12-04,30.666,30.7717,30.565,30.7632,14508
2018-12-05,30.749,30.8187,30.7026,30.7879,9317
2018-12-06,30.787,30.9104,30.7057,30.8458,10854
2018-12-07,30.834,30.9343,30.8179,30.9295,9923
2018-12-10,30.92,30.92,30.8598,30.9118,7844
2018-12-11,30.92,30.92,30.8071,30.8414,11516
2018-12-12,30.832,30.8629,30.7267,30.7692,13145
2018-12-13,30.772,30.8656,30.6729,30.8256,10248
2018-12-14,30.818,30.8954,30.7162,30.8514,10383
2018-12-17,30.825,30.8774,30.7878,30.8328,8234
2018-12-18,30.829,30.8492,30.7265,30.8011,9029
2018-12-19,30.804,30.8654,30.6729,30.8586,9625
2018-12-20,30.866,30.866,30.725,30.7299,9938
2018-12-21,30.721,30.8159,30.6777,30.7912,7575
2018-12-24,30.795,30.8273,30.7644,30.7817,7670
2018-12-25,30.809,30.843,30.773,30.813,0
2018-12-26,30.81,30.8393,30.8003,30.8072,921
2018-12-27,30.807,30.8131,30.7712,30.7747,3029
2018-12-28,30.779,30.779,30.5224,30.5432,8483
2018-12-31,30.553,30.6073,30.4577,30.569,2650
2019-01-01,30.526,30.611,30.526,30.535,523
2019-01-02,30.554,30.7964,30.4832,30.7634,11145
2019-01-03,30.772,30.9522,30.7597,30.8987,12091
2019-01-04,30.889,30.9036,30.7725,30.7906,10573
2019-01-07,30.784,30.824,30.7531,30.8072,9153
2019-01-08,30.804,30.8801,30.792,30.8329,11727
2019-01-09,30.837,30.8407,30.7348,30.7589,13380
2019-01-10,30.764,30.819,30.7131,30.7829,13475
2019-01-11,30.777,30.8168,30.6731,30.789,14716
2019-01-14,30.786,30.8815,30.776,30.8414,9587
2019-01-15,30.836,30.8626,30.7898,30.8283,11092
2019-01-16,30.827,30.8567,30.7965,30.8017,13559
2019-01-17,30.802,30.8696,30.767,30.8299,10195
2019-01-18,30.837,30.8672,30.8052,30.8632,10825
2019-01-19,30.874,30.875,30.865,30.865,0
2019-01-21,30.857,30.894,30.8257,30.8864,7302
2019-01-22,30.899,30.9255,30.8524,30.8891,12683
2019-01-23,30.891,30.9123,30.8445,30.8458,13383
2019-01-24,30.84,30.913,30.84,30.8709,11316
2019-01-25,30.874,30.8953,30.6977,30.7107,14138
2019-01-28,30.708,30.795,30.6701,30.7856,7823
2019-01-29,30.77,30.837,30.77,30.7878,13325
2019-01-30,30.797,30.8031,30.6921,30.7236,12747
2019-01-31,30.715,30.7536,30.6345,30.688,14999
2019-02-01,30.775,30.776,30.7024,30.7732,13280
2019-02-04,30.763,30.8306,30.7431,30.7762,9695
2019-02-05,30.776,30.8004,30.7207,30.7349,10181
2019-02-06,30.742,30.8128,30.727,30.7969,11154
2019-02-07,30.802,30.8206,30.7711,30.8091,8451
2019-02-08,30.821,30.8358,30.7795,30.8195,11080
2019-02-11,30.82,30.8888,30.7909,30.8807,11461
2019-02-12,30.871,30.8821,30.7917,30.7932,11707
2019-02-13,30.805,30.8511,30.7858,30.8329,13269
2019-02-14,30.828,30.8567,30.8084,30.8251,12669
2019-02-15,30.836,30.8609,30.801,30.8151,11323
2019-02-18,30.815,30.8357,30.7823,30.8285,9827
2019-02-19,30.819,30.853,30.776,30.7793,7893
2019-02-20,30.791,30.8083,30.7563,30.7887,12151
2019-02-21,30.799,30.833,30.7515,30.8015,9416
2019-02-22,30.806,30.8204,30.7032,30.746,11245
2019-02-23,30.756,30.756,30.756,30.756,0
2019-02-25,30.747,30.8019,30.7086,30.7402,10048
2019-02-26,30.749,30.7887,30.7323,30.7572,9386
2019-02-27,30.755,30.8,30.742,30.7895,9447
2019-02-28,30.791,30.8278,30.7721,30.8254,11985
2019-03-01,30.827,30.8498,30.7938,30.8449,9876
2019-03-04,30.837,30.8388,30.7855,30.825,6601
2019-03-05,30.826,30.852,30.8048,30.833,9949
2019-03-06,30.845,30.8616,30.817,30.8311,12203
2019-03-07,30.843,30.9218,30.8285,30.9093,10612
2019-03-08,30.906,30.9171,30.8797,30.8943,9622
